,X,Y,Z,cluster,cell
5422,-32.863223565837814,25.357061767251366,25.673417600776588,6,"Breast cancer cells (PanCK, GATA3)"
5423,-33.90885491011255,-66.56913119356835,25.881367510652304,6,"Breast cancer cells (PanCK, GATA3)"
5424,-34.779132135519035,50.586325585002214,25.888385875373324,6,"Breast cancer cells (PanCK, GATA3)"
5425,-35.84562133063332,-29.960464267800774,24.717512088965563,6,"Breast cancer cells (PanCK, GATA3)"
5429,-38.829379112183915,-42.137827029543814,25.882424369667326,6,"Breast cancer cells (PanCK, GATA3)"
5431,-39.98860870791242,-76.34244182740804,25.134903393313408,6,"Breast cancer cells (PanCK, GATA3)"
5432,-41.14786764119884,12.648272835503462,24.885123424997964,6,"Breast cancer cells (PanCK, GATA3)"
5438,-43.68411595428927,55.20147121607022,25.62417875563223,6,"Breast cancer cells (PanCK, GATA3)"
5439,-45.4630717775824,-21.53298661525514,24.628355462459545,6,"Breast cancer cells (PanCK, GATA3)"
5441,-47.13546347201975,-41.69512452861056,24.938788684710246,6,"Breast cancer cells (PanCK, GATA3)"
5449,-52.86221119238451,-9.061385926786897,25.28894066039414,6,"Breast cancer cells (PanCK, GATA3)"
5450,-53.61392311682374,-24.778032916161237,25.777016221196973,6,"Breast cancer cells (PanCK, GATA3)"
5453,-56.23391987585785,59.12068690234469,24.897904245828308,6,"Breast cancer cells (PanCK, GATA3)"
5456,-57.568201975794636,9.893299173059404,25.476651873911806,6,"Breast cancer cells (PanCK, GATA3)"
5459,-62.275738373168224,51.099170331114465,25.873264301354943,6,"Breast cancer cells (PanCK, GATA3)"
5463,-65.41119078422122,-58.32669204923593,25.29302229304721,6,"Breast cancer cells (PanCK, GATA3)"
5464,-65.25427468444792,-74.97884624424722,25.622273993727468,6,"Breast cancer cells (PanCK, GATA3)"
5466,-65.10258817651146,18.262026771625756,25.92445653341001,6,"Breast cancer cells (PanCK, GATA3)"
5467,-65.62833051367625,-27.12925675327847,24.633987184751007,6,"Breast cancer cells (PanCK, GATA3)"
5469,-69.79356039873369,-89.39075100615202,24.945289866743344,6,"Breast cancer cells (PanCK, GATA3)"
5471,-71.28661595428923,46.37313788273684,25.292512088965566,6,"Breast cancer cells (PanCK, GATA3)"
5472,-71.72575799041402,-42.15990809427461,25.016034256453253,6,"Breast cancer cells (PanCK, GATA3)"
5477,-77.63926746944071,8.814804549403561,25.644784816238293,6,"Breast cancer cells (PanCK, GATA3)"
5481,-83.06820197579464,-15.363690074252418,25.33041531477201,6,"Breast cancer cells (PanCK, GATA3)"
5499,-96.31761188924861,-57.52015480018997,24.95816249546963,6,"Breast cancer cells (PanCK, GATA3)"
5739,101.3937702245725,18.14651186647677,22.93377225156719,6,"Breast cancer cells (PanCK, GATA3)"
5743,90.64805233050043,-45.763188978104495,23.907803351101485,6,"Breast cancer cells (PanCK, GATA3)"
5754,63.51830828813496,-33.38006724546818,23.67275684421032,6,"Breast cancer cells (PanCK, GATA3)"
5756,52.99542427559578,-41.40128740461938,23.779581054482804,6,"Breast cancer cells (PanCK, GATA3)"
5757,49.757866027692785,-35.364474729875724,24.160755332208808,6,"Breast cancer cells (PanCK, GATA3)"
5761,21.46720554472455,57.75011026932464,23.627571260563208,6,"Breast cancer cells (PanCK, GATA3)"
5763,12.278860236186858,44.77343550178455,23.230012088965566,6,"Breast cancer cells (PanCK, GATA3)"
