,X,Y,Z,cluster,cell
10066,-206.48542387184284,-235.61748639835605,10.667833515585556,16,Macrophages (CD68)
10096,-234.10102353636614,46.28354798800126,10.965289484274393,16,Macrophages (CD68)
10098,-235.82215856572037,-175.5494591874717,11.239262087014126,16,Macrophages (CD68)
10100,-238.51848737657434,-241.55956825903326,12.334234154053235,16,Macrophages (CD68)
10214,72.15074783822047,318.2177000900324,10.328917259427925,16,Macrophages (CD68)
10234,31.73400749044572,-242.37363501164754,9.529860377612408,16,Macrophages (CD68)
10239,20.42410389275142,-56.72664634140301,8.646238831200193,16,Macrophages (CD68)
10269,-29.12961198186946,344.21192797608944,9.239262087014126,16,Macrophages (CD68)
10355,409.1669019233401,-90.51084914886172,5.797820645572685,16,Macrophages (CD68)
10379,279.5053346957352,-62.495550831676496,3.088318690787716,16,Macrophages (CD68)
10734,-147.64868917796525,230.06618707103166,7.157629433952891,16,Macrophages (CD68)
11035,258.8097095661477,-65.97070460871709,1.8326686804207242,16,Macrophages (CD68)
11255,-82.24052591265917,-246.4950374187642,3.2392620870141258,16,Macrophages (CD68)
11468,-263.9650157085774,-250.44581773088908,5.155228473568741,16,Macrophages (CD68)
11475,-269.6513511123042,-31.385898110867117,2.8914360000576096,16,Macrophages (CD68)
11657,316.3042150606533,50.7545701165576,-0.36513351738148003,16,Macrophages (CD68)
11716,178.66798921753082,217.67632077968756,0.1358138111520617,16,Macrophages (CD68)
11744,129.83949556961795,-201.97113838546665,0.607683139645701,16,Macrophages (CD68)
11813,35.67621805765623,-224.25941589742837,-1.0334651857131405,16,Macrophages (CD68)
11840,8.598831059179929,382.6024429141511,-0.6713524381255382,16,Macrophages (CD68)
11953,-121.30698789568243,-289.8499227357229,-0.3005609218354266,16,Macrophages (CD68)
12105,320.96807651565393,23.869467877025045,-3.140484748428918,16,Macrophages (CD68)
12394,79.10641286285102,-284.9399353779479,-4.036928389176353,16,Macrophages (CD68)
12445,30.89212714856535,85.3314931934807,-4.760737912985874,16,Macrophages (CD68)
12624,-113.05885324359144,112.61580691897086,-3.976424187495681,16,Macrophages (CD68)
12630,-117.90018054374235,-290.9377375757501,-6.083814836062793,16,Macrophages (CD68)
12638,-126.86475358537962,69.99663080815958,-3.256150757022567,16,Macrophages (CD68)
12917,-26.04806423899447,181.6879525236243,-7.421024994325585,16,Macrophages (CD68)
13195,40.29328993926299,284.6105629609226,-9.086319308334708,16,Macrophages (CD68)
14032,-40.09537285143466,385.2064931934807,-12.735737912985876,16,Macrophages (CD68)
14471,287.1712682528598,417.19959135298984,-16.760737912985874,16,Macrophages (CD68)
14474,284.03918597209474,-259.1685068065193,-16.819561442397642,16,Macrophages (CD68)
14894,-118.17037285143465,-80.3560068065193,-16.760737912985874,16,Macrophages (CD68)
15094,149.61332530524737,333.53195402297376,-18.898986760912145,16,Macrophages (CD68)
15684,-69.52453951810134,383.8592709712585,-20.760737912985874,16,Macrophages (CD68)
16030,328.14087086715836,21.077724349259597,-26.187873591377837,16,Macrophages (CD68)
16174,68.92701086949558,241.59893505394587,-24.760737912985874,16,Macrophages (CD68)
16335,-57.85539760390992,381.1879288370451,-25.196381477342307,16,Macrophages (CD68)
16379,-91.75787285143463,371.0870487490363,-24.827404579652544,16,Macrophages (CD68)
16793,146.54347849991666,392.25852022050776,-28.760737912985874,16,Macrophages (CD68)
