,X,Y,Z,cluster,cell
16515,-131.38341481994343,121.32455601028175,-21.903773804518053,11,Potentional fibroblasts (fibronectin)
16516,-134.56368220973974,-160.11714166267024,-21.389300701156763,2,Potentially fibroblasts (fibronectin)
16518,-131.2633373986675,104.69900698921424,-21.094870357782405,11,Potentional fibroblasts (fibronectin)
16526,-138.16559303776523,-114.05663210853015,-20.854268854023005,2,Potentially fibroblasts (fibronectin)
16532,-142.55509580019617,119.1726496594257,-21.760346202089302,11,Potentional fibroblasts (fibronectin)
16533,-143.52524216057225,-89.62095959391024,-20.947836105484996,4,Potentially fibroblasts (fibronectin)
16534,-143.66559303776523,-202.20824501175593,-21.29297853144236,4,Potentially fibroblasts (fibronectin)
16535,-146.03029892011818,51.87866200911685,-20.618974736375947,2,Potentially fibroblasts (fibronectin)
16537,-146.422349794522,-168.28636183825984,-20.710124709878862,2,Potentially fibroblasts (fibronectin)
16538,-150.29892637109856,116.91003455813654,-18.98760218735633,11,Potentional fibroblasts (fibronectin)
16539,-149.25934303776523,-145.41913210853016,-21.004268854023003,2,Potentially fibroblasts (fibronectin)
16540,-151.37051107055214,183.95976133409283,-20.526400001563978,2,Potentially fibroblasts (fibronectin)
16541,-150.66559303776523,-2.654846394244487,-20.389983139737282,4,Potentially fibroblasts (fibronectin)
16542,-152.09112495265884,-92.51407891704076,-20.854268854023005,4,Potentially fibroblasts (fibronectin)
16545,-154.48258650181754,-103.58931184709223,-20.174530291931504,2,Potentially fibroblasts (fibronectin)
16547,-154.78940256157478,-124.88996544186347,-20.473316473070618,11,Potentional fibroblasts (fibronectin)
16548,-154.8550667219758,-157.19873737168803,-21.27532148560195,2,Potentially fibroblasts (fibronectin)
16550,-158.01479938697156,110.96717741527937,-20.092364092118245,9,Potentially fibroblasts (fibronectin)
16551,-157.48151343577518,-134.86508981997298,-20.157751441087683,9,Potentially fibroblasts (fibronectin)
16552,-157.74892637109855,104.56142344702539,-20.215379965134126,11,Potentional fibroblasts (fibronectin)
16554,-159.34813272030493,-45.22329877519684,-21.552681552435708,4,Potentially fibroblasts (fibronectin)
16555,-160.63781525998746,-24.25107655297461,-20.854268854023005,4,Potentially fibroblasts (fibronectin)
16556,-161.3514904736627,-62.44124749314551,-20.905550905305056,4,Potentially fibroblasts (fibronectin)
16558,-163.8780930377652,-90.13163210853014,-22.454268854023006,4,Potentially fibroblasts (fibronectin)
16560,-162.0666625564818,10.384544362058136,-21.132343720333168,11,Potentional fibroblasts (fibronectin)
16562,-166.7619785799339,96.35903054207222,-21.625353191372405,2,Potentially fibroblasts (fibronectin)
16564,-168.9709365492156,66.29832972353097,-20.39625358684743,2,Potentially fibroblasts (fibronectin)
16565,-169.66559303776523,-110.66774321964124,-22.11352811328227,2,Potentially fibroblasts (fibronectin)
16566,-173.84206362600054,-37.38016152029485,-20.854268854023005,2,Potentially fibroblasts (fibronectin)
16567,-173.65309303776525,-118.15663210853018,-22.154268854023,2,Potentially fibroblasts (fibronectin)
16568,-175.3936632132038,89.46091175111894,-20.67883025753178,2,Potentially fibroblasts (fibronectin)
16570,-178.0595324317046,100.7160951641971,-20.854268854023005,9,Potentially fibroblasts (fibronectin)
16571,-181.406333778506,91.28596048406246,-21.076491076245226,2,Potentially fibroblasts (fibronectin)
16572,-182.09696558678485,-31.67427916735369,-21.285641403042604,2,Potentially fibroblasts (fibronectin)
